state,total,notice_present,effective_start_present,effective_end_present,paired,negative_interval,zero_interval,month_precision_notice,source_details_present
AK,66,66,61,0,61,6,5,,0
AL,1034,1034,1034,0,1034,77,35,,0
AZ,964,964,0,0,0,0,0,,0
CA,25035,14400,25033,0,14398,2759,1653,,10635
CO,828,818,545,290,539,70,119,,290
CT,617,617,600,0,600,123,31,,0
DC,167,167,162,0,162,34,8,,0
DE,101,101,0,0,0,0,0,,0
FL,5354,5354,4100,470,4100,1007,136,,470
GA,4617,0,4617,0,0,0,0,,4617
HI,453,453,0,0,0,0,0,,0
IA,375,375,375,0,375,10,6,,0
ID,193,193,193,0,193,16,24,,0
IL,4863,4863,2837,0,2837,484,110,,0
IN,1011,1011,1008,35,1008,86,46,,38
KS,2206,2206,0,0,0,0,0,,2126
KY,1287,1275,1016,83,1009,330,34,,95
LA,613,612,612,1,611,60,25,,31
MA,550,546,528,111,524,117,34,,125
MD,1398,1398,1392,25,1392,251,53,,29
ME,552,552,0,0,0,0,0,,0
MI,892,772,120,0,0,0,0,,0
MN,969,323,783,0,318,12,249,,0
MO,508,508,505,0,505,96,23,,0
MS,142,142,112,0,112,17,7,,0
MT,43,43,42,0,42,5,4,,0
NC,1199,1193,1191,0,1191,109,188,,0
ND,54,54,42,0,42,8,4,,0
NE,986,986,0,0,0,0,0,,0
NJ,2279,2267,2270,55,2266,82,8,2267,2268
NM,115,114,115,0,114,9,16,,0
NV,296,295,287,0,287,41,43,,0
NY,5889,5889,4714,0,4714,1289,368,,0
OH,2667,2666,2595,215,2594,364,98,,217
OK,566,566,0,0,0,0,0,,0
OR,1187,1187,1126,0,1126,123,79,,0
PA,291,0,289,21,0,0,0,,93
RI,126,125,125,0,124,78,2,,0
SC,599,199,595,33,198,2,9,,599
SD,79,79,0,0,0,0,0,,0
TN,1086,1086,1083,6,1083,389,29,,6
TX,7319,7319,7305,0,7305,1131,542,,0
UT,280,280,0,0,0,0,0,,0
VA,1114,1114,1113,0,1113,140,82,,0
VT,337,337,0,0,0,0,0,,0
WA,1459,1459,1459,0,1459,174,80,,0
WI,3622,3622,3587,0,3587,386,72,,0
